1583760383.213880285,1583760383.295896769,no detection,,0,0,0
1583760383.289513952,1583760383.371895844,no detection,,0,0,0
1583760383.363454178,1583760383.450472799,no detection,,0,0,0
1583760383.437157106,1583760383.526705379,no detection,,0,0,0
1583760383.511260394,1583760383.609178144,sphero,sphero_red,294.689,604.122,9
1583760383.602185309,1583760383.687438103,no detection,,0,0,0
1583760383.676216692,1583760383.764173893,no detection,,0,0,0
1583760383.749698313,1583760383.836819647,no detection,,0,0,0
1583760383.823399197,1583760383.923257904,sphero,sphero_red,294.701,605.375,9
1583760383.914421623,1583760383.997542714,no detection,,0,0,0
1583760383.988624457,1583760384.067928816,no detection,,0,0,0
1583760384.061994032,1583760384.142049707,no detection,,0,0,0
1583760384.135462981,1583760384.215772513,no detection,,0,0,0
1583760384.209925670,1583760384.288609077,no detection,,0,0,0
1583760384.282420032,1583760384.363748508,no detection,,0,0,0
1583760384.355156950,1583760384.436797286,no detection,,0,0,0
1583760384.430950720,1583760384.518951991,sphero,sphero_red,294.415,605.551,358
1583760384.502195747,1583760384.598243072,no detection,,0,0,0
1583760384.596172392,1583760384.673405860,no detection,,0,0,0
1583760384.667823900,1583760384.747714083,no detection,,0,0,0
1583760384.743040676,1583760384.834800106,sphero,sphero_red,294.397,605.854,358
1583760384.817116572,1583760384.909919191,no detection,,0,0,0
1583760384.909261220,1583760384.982989647,no detection,,0,0,0
1583760384.963670186,1583760385.059970839,no detection,,0,0,0
1583760385.056609333,1583760385.145728128,sphero,sphero_red,294.096,604.163,9
1583760385.130378030,1583760385.220461017,no detection,,0,0,0
1583760385.203812914,1583760385.296434955,no detection,,0,0,0
1583760385.295660154,1583760385.381099275,sphero,sphero_red,294.994,603.997,9
1583760385.368828637,1583760385.464380683,sphero,sphero_red,294.477,604.679,3
1583760385.461800630,1583760385.540218955,no detection,,0,0,0
1583760385.535208301,1583760385.615722977,no detection,,0,0,0
1583760385.606623620,1583760385.697613624,sphero,sphero_red,294.115,605.089,3
1583760385.682971237,1583760385.774214716,no detection,,0,0,0
1583760385.755542570,1583760385.848049380,no detection,,0,0,0
1583760385.847250217,1583760385.933465512,sphero,sphero_red,294.288,605.652,358
1583760385.921145536,1583760386.018126873,sphero,sphero_red,294.033,605.947,358
1583760386.013613582,1583760386.096541914,no detection,,0,0,0
1583760386.087317816,1583760386.180977398,sphero,sphero_red,293.909,605.395,3
1583760386.177641583,1583760386.255046417,no detection,,0,0,0
1583760386.252609485,1583760386.331128316,no detection,,0,0,0
1583760386.325776388,1583760386.403285351,no detection,,0,0,0
1583760386.400073442,1583760386.488580970,sphero,sphero_red,295.064,604.617,3
1583760386.474888574,1583760386.566813825,no detection,,0,0,0
1583760386.566125419,1583760386.639945335,no detection,,0,0,0
1583760386.638798633,1583760386.720487240,sphero,sphero_red,294.03,605.736,358
1583760386.712761989,1583760386.798351713,no detection,,0,0,0
1583760386.786807761,1583760386.871548336,no detection,,0,0,0
1583760386.861105911,1583760386.943169751,no detection,,0,0,0
1583760386.934034453,1583760387.018683892,no detection,,0,0,0
1583760387.006241622,1583760387.099787593,sphero,sphero_red,294.524,605.501,349
1583760387.098954790,1583760387.173812185,no detection,,0,0,0
1583760387.172996244,1583760387.255031610,no detection,,0,0,0
1583760387.246289666,1583760387.339564458,sphero,sphero_red,294.077,605.745,358
1583760387.338965429,1583760387.415673339,no detection,,0,0,0
1583760387.412206147,1583760387.491054957,no detection,,0,0,0
1583760387.485682686,1583760387.564951724,no detection,,0,0,0
1583760387.559600638,1583760387.652509768,sphero,sphero_red,294.58,604.248,9
1583760387.651137712,1583760387.729302352,no detection,,0,0,0
1583760387.723392079,1583760387.803662950,no detection,,0,0,0
1583760387.797890030,1583760387.874865517,no detection,,0,0,0
1583760387.872313204,1583760387.958379478,sphero,sphero_red,294.354,605.506,358
1583760387.945543943,1583760388.040066268,no detection,,0,0,0
1583760388.038101950,1583760388.111549345,no detection,,0,0,0
1583760388.093523302,1583760388.187543101,no detection,,0,0,0
1583760388.185659593,1583760388.259332880,no detection,,0,0,0
1583760388.258668720,1583760388.331819511,no detection,,0,0,0
1583760388.312649465,1583760388.418435084,no detection,,0,0,0
1583760388.405582827,1583760388.499176060,no detection,,0,0,0
1583760388.498416676,1583760388.576984753,no detection,,0,0,0
1583760388.571401675,1583760388.657854099,no detection,,0,0,0
1583760388.645763311,1583760388.738375942,no detection,,0,0,0
1583760388.737478954,1583760388.832206207,sphero,sphero_red,294.604,603.242,9
1583760388.828743345,1583760388.913752854,no detection,,0,0,0
1583760388.903806007,1583760388.996431177,no detection,,0,0,0
1583760388.992251442,1583760389.077983306,no detection,,0,0,0
1583760389.069433616,1583760389.155188004,no detection,,0,0,0
1583760389.142738129,1583760389.235319967,no detection,,0,0,0
1583760389.234621185,1583760389.318573392,no detection,,0,0,0
1583760389.306333306,1583760389.391218915,no detection,,0,0,0
1583760389.382361380,1583760389.465606301,no detection,,0,0,0
1583760389.455921019,1583760389.545694277,no detection,,0,0,0
1583760389.528798153,1583760389.624578991,sphero,sphero_red,294.44,605.287,3
1583760389.619942006,1583760389.699509898,no detection,,0,0,0
1583760389.693520898,1583760389.773599598,no detection,,0,0,0
1583760389.766198125,1583760389.855144825,sphero,sphero_red,294.144,605.209,3
1583760389.839908142,1583760389.931162885,no detection,,0,0,0
1583760389.915247832,1583760390.007363046,no detection,,0,0,0
1583760390.006438237,1583760390.088850491,sphero,sphero_red,294.242,605.758,358
1583760390.080609326,1583760390.176067077,sphero,sphero_red,294.868,605.417,9
1583760390.171216075,1583760390.252702500,no detection,,0,0,0
1583760390.246234955,1583760390.326235374,no detection,,0,0,0
1583760390.318149044,1583760390.399239270,no detection,,0,0,0
1583760390.394625389,1583760390.475023267,no detection,,0,0,0
1583760390.465807819,1583760390.547724866,no detection,,0,0,0
1583760390.541375085,1583760390.619768159,no detection,,0,0,0
1583760390.613842071,1583760390.695322163,no detection,,0,0,0
1583760390.687577230,1583760390.777945989,sphero,sphero_red,294.119,605.707,358
1583760390.762621342,1583760390.866524303,sphero,sphero_red,294.344,605.244,3
1583760390.854594749,1583760390.944511644,no detection,,0,0,0
1583760390.927674157,1583760391.017537973,no detection,,0,0,0
1583760391.001178165,1583760391.089987962,no detection,,0,0,0
1583760391.075126952,1583760391.166565638,no detection,,0,0,0
1583760391.165415448,1583760391.237152249,no detection,,0,0,0
1583760391.222804742,1583760391.310110280,no detection,,0,0,0
1583760391.295858985,1583760391.387117675,no detection,,0,0,0
1583760391.369686659,1583760391.470041156,sphero,sphero_red,294.527,604.872,9
1583760391.458112619,1583760391.546386550,no detection,,0,0,0
1583760391.534325080,1583760391.621130038,no detection,,0,0,0
1583760391.608871546,1583760391.704742223,sphero,sphero_red,294.347,604.762,3
1583760391.700497480,1583760391.783448885,no detection,,0,0,0
1583760391.774226646,1583760391.861772693,no detection,,0,0,0
1583760391.848087844,1583760391.943801946,sphero,sphero_red,293.994,605.105,3
1583760391.939630472,1583760392.017398236,no detection,,0,0,0
1583760392.013039409,1583760392.093951863,no detection,,0,0,0
1583760392.086927755,1583760392.166087936,no detection,,0,0,0
1583760392.160437545,1583760392.238264380,no detection,,0,0,0
1583760392.234409888,1583760392.319046384,no detection,,0,0,0
1583760392.307843073,1583760392.392342805,no detection,,0,0,0
1583760392.382578528,1583760392.463534655,no detection,,0,0,0
1583760392.455882219,1583760392.542189823,no detection,,0,0,0
1583760392.528780669,1583760392.622959785,sphero,sphero_red,294.457,605.146,3
1583760392.619111407,1583760392.698042858,no detection,,0,0,0
1583760392.693612166,1583760392.771377067,no detection,,0,0,0
1583760392.767768714,1583760392.841563258,no detection,,0,0,0
1583760392.823585486,1583760392.914945442,no detection,,0,0,0
1583760392.896388114,1583760392.988209051,no detection,,0,0,0
1583760392.970656615,1583760393.071386345,sphero,sphero_red,294.559,604.534,9
1583760393.061944543,1583760393.146535501,no detection,,0,0,0
1583760393.135815948,1583760393.231327630,sphero,sphero_red,294.126,605.813,358
1583760393.227772467,1583760393.318138717,sphero,sphero_red,294.469,605.778,358
1583760393.301842592,1583760393.392965690,no detection,,0,0,0
1583760393.375252351,1583760393.468985814,no detection,,0,0,0
1583760393.467103716,1583760393.542054700,no detection,,0,0,0
1583760393.541164216,1583760393.612171209,no detection,,0,0,0
1583760393.595563197,1583760393.686420821,no detection,,0,0,0
1583760393.670008266,1583760393.757273277,no detection,,0,0,0
1583760393.743201823,1583760393.829418664,no detection,,0,0,0
