1583590749.788045381,1583590749.891255819,sphero,sphero_yellow,741.209,661.652,284
1583590749.878131767,1583590749.981682399,sphero,sphero_yellow,740.916,661.922,284
1583590749.972373784,1583590750.071578860,sphero,sphero_yellow,741.12,661.901,284
1583590750.063036203,1583590750.159289618,sphero,sphero_lime_green,740.459,661.646,286
1583590750.155681419,1583590750.247070648,sphero,sphero_lime_green,741.201,661.894,284
1583590750.228893640,1583590750.336816077,sphero,sphero_yellow,740.757,662.175,284
1583590750.321201983,1583590750.430368989,sphero,sphero_yellow,740.728,661.989,284
1583590750.413558665,1583590750.520016543,sphero,sphero_yellow,741.234,661.979,284
1583590750.505768959,1583590750.614676870,sphero,sphero_lime_green,740.734,662.118,284
1583590750.595662103,1583590750.703999712,sphero,sphero_dark_green,741.53,661.847,284
1583590750.688173911,1583590750.794369953,sphero,sphero_dark_green,741.798,662.079,284
1583590750.779238121,1583590750.889284047,sphero,sphero_yellow,740.77,662.217,284
1583590750.872998838,1583590750.984140088,sphero,sphero_yellow,741.356,662.066,284
1583590750.965187384,1583590751.078099502,sphero,sphero_yellow,741.321,661.446,283
1583590751.075859021,1583590751.169324756,sphero,sphero_lime_green,741.393,661.879,284
1583590751.167043219,1583590751.267648541,sphero,sphero_yellow,741.292,662.344,290
1583590751.256751614,1583590751.359978041,sphero,sphero_dark_green,735.525,662.669,319
1583590751.352148540,1583590751.451498354,sphero,sphero_yellow,735.637,663.861,346
1583590751.444082473,1583590751.540900442,sphero,sphero_lime_green,738.833,659.595,256
1583590751.535520651,1583590751.627956475,sphero,sphero_yellow,735.809,662.735,273
1583590751.609864045,1583590751.720475764,sphero,sphero_lime_green,731.666,667.307,315
1583590751.716882756,1583590751.811365654,sphero,sphero_dark_green,730.89,667.303,315
1583590751.809191400,1583590751.896378807,sphero,sphero_lime_green,731.31,667.395,315
1583590751.885714777,1583590751.984117985,sphero,sphero_lime_green,733.24,669.079,315
1583590751.977924300,1583590752.069583976,sphero,sphero_lime_green,736.877,668.291,307
1583590752.068954692,1583590752.158589960,sphero,sphero_dark_green,733.77,663.805,329
1583590752.143547016,1583590752.247716939,sphero,sphero_lime_green,734.807,662.607,313
1583590752.235999853,1583590752.444083266,sphero,sphero_dark_green,727.64,660.677,332
1583590752.437823953,1583590752.532952620,sphero,sphero_dark_green,730.009,652.43,320
1583590752.531169829,1583590752.625806198,sphero,sphero_lime_green,722.751,639.754,310
1583590752.621311058,1583590752.713476699,no detection,,0,0,0
1583590752.695809609,1583590752.796229628,no detection,,0,0,0
1583590752.785581303,1583590752.889148060,sphero,sphero_lime_green,710.175,622.968,303
1583590752.879660748,1583590752.986048709,sphero,sphero_lime_green,702.486,621.376,301
1583590752.971929520,1583590753.080468606,sphero,sphero_lime_green,699.431,617.859,303
1583590753.063143089,1583590753.170995679,sphero,sphero_lime_green,698.411,615.381,303
1583590753.156045890,1583590753.260223551,sphero,sphero_lime_green,698.383,611.808,291
1583590753.247228245,1583590753.348134440,sphero,sphero_lime_green,699.2,616.396,293
1583590753.339336121,1583590753.439532876,sphero,sphero_lime_green,699.788,615.388,291
1583590753.431251779,1583590753.531029889,sphero,sphero_lime_green,700.483,614.762,294
1583590753.523919076,1583590753.621445539,sphero,sphero_yellow,699.494,616.122,291
1583590753.615424014,1583590753.708674367,sphero,sphero_lime_green,698.984,616.184,283
1583590753.707534646,1583590753.801699238,sphero,sphero_lime_green,698.056,610.274,283
1583590753.799678282,1583590753.891702886,sphero,sphero_dark_green,697.816,607.746,279
1583590753.890955784,1583590753.980957588,sphero,sphero_yellow,697.851,607.716,269
1583590753.964994421,1583590754.067592571,sphero,sphero_lime_green,697.687,606.329,269
1583590754.058462176,1583590754.157641841,sphero,sphero_lime_green,697.923,605.537,263
1583590754.149351968,1583590754.247692134,sphero,sphero_lime_green,698.973,609.231,259
1583590754.241376501,1583590754.340416004,sphero,sphero_lime_green,699.126,609.25,263
1583590754.330948011,1583590754.429008459,sphero,sphero_lime_green,699.072,609.29,248
1583590754.426438560,1583590754.515196650,sphero,sphero_lime_green,698.828,608.442,251
1583590754.499792039,1583590754.604412514,sphero,sphero_lime_green,698.488,606.833,253
1583590754.591262606,1583590754.692768761,sphero,sphero_lime_green,697.983,605.565,248
1583590754.683445955,1583590754.779435724,sphero,sphero_lime_green,698.106,605.835,240
1583590754.775350030,1583590754.866754308,sphero,sphero_lime_green,698.267,605.818,236
1583590754.848002770,1583590754.954146822,sphero,sphero_lime_green,698.746,606.026,232
1583590754.941261150,1583590755.042892216,sphero,sphero_lime_green,699.521,608.054,228
1583590755.031385801,1583590755.134486389,sphero,sphero_lime_green,699.678,608.652,227
1583590755.124138302,1583590755.227551774,sphero,sphero_lime_green,699.618,606.945,218
1583590755.216473949,1583590755.321181760,sphero,sphero_lime_green,699.641,607.108,212
1583590755.309738619,1583590755.417405320,sphero,sphero_lime_green,699.716,607.387,212
1583590755.400921481,1583590755.514441872,sphero,sphero_lime_green,699.734,606.592,210
1583590755.511388640,1583590755.606848575,sphero,sphero_lime_green,700.004,606.378,200
1583590755.603978273,1583590755.695398859,sphero,sphero_lime_green,700.471,602.34,191
1583590755.692696427,1583590755.786840694,sphero,sphero_lime_green,700.235,601.727,12
1583590755.785707283,1583590755.886707091,sphero,sphero_dark_green,700.17,598.888,357
1583590755.879204229,1583590755.980182958,sphero,sphero_yellow,710.77,590.659,269
1583590755.972966054,1583590756.073687943,sphero,sphero_dark_green,710.995,597.818,350
1583590756.062777373,1583590756.165944690,sphero,sphero_dark_green,713.484,597.336,341
